year,ecode_dest,economy_dest,region_dest,ecode_source,economy_source,value,share,rank,value_million
2003,CUB,Cuba,Latin America & Caribbean,BRA,Brazil,0.018945,0.575923392612861,1,18.945
2003,CUB,Cuba,Latin America & Caribbean,CHN,China,0.0139499999999999,0.4240766073871392,2,13.9499999999999
2003,CUW,Curaçao,Latin America & Caribbean,FRA,France,0.18313492,1.0,1,183.13492
2003,CYM,Cayman Islands,Latin America & Caribbean,BRA,Brazil,22.247646,0.39632466354541224,1,22247.646
2003,CYM,Cayman Islands,Latin America & Caribbean,JPN,Japan,10.404532,0.18534871708438166,2,10404.532
2003,CYM,Cayman Islands,Latin America & Caribbean,CAN,Canada,9.647168,0.1718568612502225,3,9647.168000000001
2003,CYM,Cayman Islands,Latin America & Caribbean,CHN,China,3.69068,0.06574661918181286,4,3690.68
2003,CYM,Cayman Islands,Latin America & Caribbean,DEU,Germany,3.4656704,0.061738246609969176,5,3465.6704
2003,CYM,Cayman Islands,,OTH,Others,6.6792052258000005,0.11898489232820159,6,6679.2052258
2003,CYP,Cyprus,Europe & Central Asia,GRC,Greece,3.9149697,0.6886323315569949,1,3914.9697
2003,CYP,Cyprus,Europe & Central Asia,CZE,Czechia,0.2721523,0.04787083611083855,2,272.1523
2003,CYP,Cyprus,Europe & Central Asia,DEU,Germany,0.2614409,0.045986730505566654,3,261.4409
2003,CYP,Cyprus,Europe & Central Asia,USA,United States,0.257,0.04520558849028836,4,257.0
2003,CYP,Cyprus,Europe & Central Asia,NLD,Netherlands,0.19121811,0.033634736157784804,5,191.21811
2003,CYP,Cyprus,,OTH,Others,0.7883567922699998,0.1386697771785267,6,788.3567922699998
2003,CZE,Czechia,Europe & Central Asia,DEU,Germany,10.079998,0.3667727080627895,1,10079.998
2003,CZE,Czechia,Europe & Central Asia,AUT,Austria,4.479859,0.16300499436304058,2,4479.859
2003,CZE,Czechia,Europe & Central Asia,NLD,Netherlands,3.1649502000000003,0.11516047480742232,3,3164.9502
2003,CZE,Czechia,Europe & Central Asia,FRA,France,2.7457607,0.09990776661179701,4,2745.7607
2003,CZE,Czechia,Europe & Central Asia,GBR,United Kingdom,1.7026046,0.061951292044121684,5,1702.6046
2003,CZE,Czechia,,OTH,Others,5.309782961,0.1932027641108289,6,5309.782961
2003,DEU,Germany,Europe & Central Asia,USA,United States,72.262,0.26287095232212887,1,72262.0
2003,DEU,Germany,Europe & Central Asia,NLD,Netherlands,40.09,0.1458373208407482,2,40090.0
2003,DEU,Germany,Europe & Central Asia,FRA,France,32.91124,0.11972280037782154,3,32911.24
2003,DEU,Germany,Europe & Central Asia,GBR,United Kingdom,24.068475,0.08755504890802013,4,24068.475
2003,DEU,Germany,Europe & Central Asia,CHE,Switzerland,21.316275,0.07754323862071888,5,21316.275
2003,DEU,Germany,,OTH,Others,84.24735070484999,0.3064706389305623,6,84247.35070484999
2003,DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",USA,United States,0.006,0.9579308693222639,1,6.0
2003,DJI,Djibouti,"Middle East, North Africa, Afghanistan & Pakistan",KOR,"Korea, Rep.",0.0002635,0.04206913067773609,2,0.2635
2003,DNK,Denmark,Europe & Central Asia,SWE,Sweden,15.022534,0.31301179888559855,1,15022.534
2003,DNK,Denmark,Europe & Central Asia,USA,United States,5.597,0.11661994163985219,2,5597.0
2003,DNK,Denmark,Europe & Central Asia,GBR,United Kingdom,5.391581,0.1123398001726882,3,5391.581
2003,DNK,Denmark,Europe & Central Asia,NOR,Norway,4.84506,0.1009524056533111,4,4845.06
2003,DNK,Denmark,Europe & Central Asia,NLD,Netherlands,4.588982,0.09561672557197286,5,4588.982
2003,DNK,Denmark,,OTH,Others,12.54835012492,0.2614593280765771,6,12548.35012492
2003,DOM,Dominican Republic,Latin America & Caribbean,USA,United States,0.816,0.6739720169316397,1,816.0
2003,DOM,Dominican Republic,Latin America & Caribbean,FRA,France,0.22607689,0.18672732541045642,2,226.07689
2003,DOM,Dominican Republic,Latin America & Caribbean,NLD,Netherlands,0.06466557,0.053410275292811435,3,64.66557
2003,DOM,Dominican Republic,Latin America & Caribbean,CAN,Canada,0.06190034,0.051126344360973346,4,61.90034
2003,DOM,Dominican Republic,Latin America & Caribbean,BRA,Brazil,0.033328,0.02752713159350207,5,33.328
2003,DOM,Dominican Republic,,OTH,Others,0.00876195967,0.007236906410617137,6,8.76195967
2003,DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",USA,United States,4.08,0.731829210564857,1,4080.0
2003,DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",NOR,Norway,1.0476047000000002,0.18790875504535146,2,1047.6047
2003,DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",FRA,France,0.1907129,0.03420815466949375,3,190.7129
2003,DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",KOR,"Korea, Rep.",0.09277663,0.01664133526759015,4,92.77663
2003,DZA,Algeria,"Middle East, North Africa, Afghanistan & Pakistan",DEU,Germany,0.07072797,0.012686469227930118,5,70.72797
2003,DZA,Algeria,,OTH,Others,0.0932490612999999,0.016726075224777665,6,93.2490612999999
2003,ECU,Ecuador,Latin America & Caribbean,USA,United States,0.975,0.509099134347347,1,975.0
2003,ECU,Ecuador,Latin America & Caribbean,CHE,Switzerland,0.3273506499999999,0.17092711030055519,2,327.3506499999999
2003,ECU,Ecuador,Latin America & Caribbean,CAN,Canada,0.2367688,0.12362952935431808,3,236.7688
2003,ECU,Ecuador,Latin America & Caribbean,NLD,Netherlands,0.1779566199999999,0.09292057558295355,4,177.9566199999999
2003,ECU,Ecuador,Latin America & Caribbean,DEU,Germany,0.1275629399999999,0.0666073664910795,5,127.5629399999999
2003,ECU,Ecuador,,OTH,Others,0.07050861886,0.03681628392374669,6,70.50861886
2003,EGY,"Egypt, Arab Rep.","Middle East, North Africa, Afghanistan & Pakistan",USA,United States,3.524,0.5543467127911988,1,3524.0
